tituloProduto,preco,descricao,imgProduto,catProduto,classProduto,exibirHome
Furadeira Elétrica,150,Furadeira elétrica com mandril de 13mm e 600W de potência.,Furadeira Elétrica.jpg,Ferramentas Manuais,Novo,True
Parafusadeira,100,Parafusadeira portátil ideal para montagem de móveis.,Parafusadeira.jpg,Ferramentas Manuais,Novo,True
Serra Circular,200,"Serra circular com lâmina de 7 polegadas, ideal para cortes precisos.",Serra Circular.jpg,Ferramentas Elétricas,Novo,True
Lixadeira,75,Lixadeira orbital para acabamentos em madeira.,Lixadeira.jpg,Ferramentas Elétricas,Novo,True
Martelo,50,Martelo de borracha com cabo ergonômico.,Martelo.jpg,Ferramentas Manuais,Novo,True
Alicate,25,Alicate universal de 8 polegadas.,Alicate.jpg,Ferramentas Manuais,Novo,True
Chave de Fenda,30,Chave de fenda com cabo antideslizante.,Chave de Fenda.jpg,Ferramentas Manuais,Novo,True
Serra Tico-Tico,250,Serra tico-tico com velocidade variável.,Serra Tico-Tico.jpg,Ferramentas Elétricas,Novo,True
Furadeira de Impacto,300,Furadeira de impacto com 800W e 2 velocidades.,Furadeira de Impacto.jpg,Ferramentas Elétricas,Novo,True
Plaina,90,Plaina elétrica com largura de 82mm.,Plaina.jpg,Ferramentas Elétricas,Novo,True
Trena,15,Trena de 5 metros com mecanismo de retorno rápido.,Trena.jpg,Ferramentas Manuais,Novo,True
Nível a Laser,45,Nível a laser com alcance de 20 metros.,Nível a Laser.jpg,Ferramentas Manuais,Novo,True
Broca para Madeira,20,"Broca para madeira, 5 peças.",Broca para Madeira.jpg,Ferramentas Manuais,Novo,True
Broca para Metal,20,"Broca para metal, 5 peças.",Broca para Metal.jpg,Ferramentas Manuais,Novo,True
Serra de Arco,60,Serra de arco com lâmina de 12 polegadas.,Serra de Arco.jpg,Ferramentas Manuais,Novo,True
Cortador de Grama,80,"Cortador de grama manual, leve e fácil de usar.",Cortador de Grama.jpg,Ferramentas Elétricas,Novo,True
Escada Dobrável,70,"Escada dobrável em alumínio, 3 degraus.",Escada Dobrável.jpg,Ferramentas Manuais,Novo,True
Chave Inglesa,120,Chave inglesa ajustável de 12 polegadas.,Chave Inglesa.jpg,Ferramentas Manuais,Novo,True
Furadeira de Coluna,90,Furadeira de coluna com velocidade variável.,Furadeira de Coluna.jpg,Ferramentas Elétricas,Novo,True
Parafuso de Madeira,350,"Parafuso de madeira, 50 peças.",Parafuso de Madeira.jpg,Ferramentas Elétricas,Novo,True
Parafuso Metálico,5,"Parafuso metálico, 50 peças.",Parafuso Metálico.jpg,Ferramentas Manuais,Novo,True
Tico-Tico Elétrico,10,Tico-tico elétrico com lâmina de reposição.,Tico-Tico Elétrico.jpg,Ferramentas Manuais,Novo,True
Cortadora de Azulejos,120,"Cortadora de azulejos, ideal para reformas.",Cortadora de Azulejos.jpg,Ferramentas Elétricas,Novo,True
Lima,100,"Lima de metal, 6 polegadas.",Lima.jpg,Ferramentas Elétricas,Novo,True
Serra Sabre,35,Serra sabre com lâminas intercambiáveis.,Serra Sabre.jpg,Ferramentas Manuais,Novo,True
Bico de Luz,45,Bico de luz LED com baixo consumo.,Bico de Luz.jpg,Ferramentas Manuais,Novo,True
Aspirador de Pó,40,"Aspirador de pó portátil, ideal para limpeza rápida.",Aspirador de Pó.jpg,Ferramentas Elétricas,Novo,True
Mala de Ferramentas,55,Mala de ferramentas com 150 peças.,Mala de Ferramentas.jpg,Ferramentas Elétricas,Novo,True
Guilhotina,120,Guilhotina manual para papel e cartolina.,Guilhotina.jpg,Ferramentas Manuais,Novo,True
Bomba de Vácuo,200,Bomba de vácuo para uso doméstico.,Bomba de Vácuo.jpg,Ferramentas Manuais,Novo,True
Estilete,90,Estilete com lâminas de reposição.,Estilete.jpg,Ferramentas Manuais,Novo,True
Chave Allen,70,"Chave Allen em conjunto, 10 peças.",Chave Allen.jpg,Ferramentas Manuais,Novo,True
Rosqueadeira,85,Rosqueadeira para tubos de PVC.,Rosqueadeira.jpg,Ferramentas Manuais,Novo,True
Saca-rolhas,100,Saca-rolhas manual com cortador de lacre.,Saca-rolhas.jpg,Ferramentas Manuais,Novo,True
Desempenadeira,60,Desempenadeira de aço inox.,Desempenadeira.jpg,Ferramentas Manuais,Novo,True
Rebitador,75,Rebitador manual para chapas de metal.,Rebitador.jpg,Ferramentas Elétricas,Novo,True
Estante de Ferramentas,90,"Estante de ferramentas em metal, 3 prateleiras.",Estante de Ferramentas.jpg,Ferramentas Elétricas,Novo,True
Cinta Métrica,130,Cinta métrica de 10 metros com clipe para bolso.,Cinta Métrica.jpg,Ferramentas Elétricas,Novo,True
Mecanismo de Fechadura,150,Mecanismo de fechadura de alta segurança.,Mecanismo de Fechadura.jpg,Ferramentas Elétricas,Novo,True
Pistola de Cola Quente,95,Pistola de cola quente com 20 bastões inclusos.,Pistola de Cola Quente.jpg,Ferramentas Manuais,Novo,True
Régua de Alumínio,15,"Régua de alumínio, 1 metro.",Régua de Alumínio.jpg,Ferramentas Manuais,Novo,True
Cortador de Papel,25,Cortador de papel com lâmina afiada.,Cortador de Papel.jpg,Ferramentas Manuais,Novo,True
Caixa de Ferramentas,30,Caixa de ferramentas com divisórias.,Caixa de Ferramentas.jpg,Ferramentas Manuais,Novo,True
Martelo de Borracha,35,"Martelo de borracha, ideal para montagem de móveis.",Martelo de Borracha.jpg,Ferramentas Manuais,Novo,True
Parafuso,15,"Parafuso em aço, 100 peças.",Parafuso.jpg,Ferramentas Manuais,Novo,True
Prego,20,"Prego em aço, 100 peças.",Prego.jpg,Ferramentas Manuais,Novo,True
Serra de Madeira,100,Serra de madeira com lâmina de 18 polegadas.,Serra de Madeira.jpg,Ferramentas Elétricas,Novo,True
Corta Cabos,45,Corta Cabos.,Corta Cabos.jpg,Ferramentas Elétricas,Novo,True
